"","Mature1_Acc","Mature1","goTerm"
"1","MIMAT0000062","hsa-let-7a-5p","GO:1903231"
"2","MIMAT0000062","hsa-let-7a-5p","GO:0035195"
"3","MIMAT0000062","hsa-let-7a-5p","GO:0035278"
"4","MIMAT0000062","hsa-let-7a-5p","GO:0070104"
"5","MIMAT0000062","hsa-let-7a-5p","GO:0098806"
"6","MIMAT0000062","hsa-let-7a-5p","GO:0005615"
"7","MIMAT0000062","hsa-let-7a-5p","GO:0070062"
"8","MIMAT0000062","hsa-let-7a-5p","GO:1903561"
"9","MIMAT0000063","hsa-let-7b-5p","GO:1903231"
"10","MIMAT0000063","hsa-let-7b-5p","GO:0010507"
"11","MIMAT0000063","hsa-let-7b-5p","GO:0034614"
"12","MIMAT0000063","hsa-let-7b-5p","GO:0035195"
"13","MIMAT0000063","hsa-let-7b-5p","GO:0043154"
"14","MIMAT0000063","hsa-let-7b-5p","GO:0045766"
"15","MIMAT0000063","hsa-let-7b-5p","GO:0070374"
"16","MIMAT0000063","hsa-let-7b-5p","GO:1901299"
"17","MIMAT0000063","hsa-let-7b-5p","GO:1903589"
"18","MIMAT0000063","hsa-let-7b-5p","GO:0005615"
"19","MIMAT0000063","hsa-let-7b-5p","GO:0070062"
"20","MIMAT0000063","hsa-let-7b-5p","GO:1903561"
"21","MIMAT0000064","hsa-let-7c-5p","GO:0032693"
"22","MIMAT0000064","hsa-let-7c-5p","GO:1903231"
"23","MIMAT0000064","hsa-let-7c-5p","GO:0035195"
"24","MIMAT0000064","hsa-let-7c-5p","GO:0045944"
"25","MIMAT0000064","hsa-let-7c-5p","GO:0070104"
"26","MIMAT0000064","hsa-let-7c-5p","GO:1904893"
"27","MIMAT0000064","hsa-let-7c-5p","GO:0005615"
"28","MIMAT0000064","hsa-let-7c-5p","GO:0005634"
"29","MIMAT0000064","hsa-let-7c-5p","GO:0005737"
"30","MIMAT0000064","hsa-let-7c-5p","GO:0070062"
"31","MIMAT0000064","hsa-let-7c-5p","GO:1903561"
"32","MIMAT0000065","hsa-let-7d-5p","GO:0005615"
"33","MIMAT0000065","hsa-let-7d-5p","GO:1903561"
"34","MIMAT0000066","hsa-let-7e-5p","GO:0043433"
"35","MIMAT0000066","hsa-let-7e-5p","GO:1904893"
"36","MIMAT0000066","hsa-let-7e-5p","GO:0042532"
"37","MIMAT0000066","hsa-let-7e-5p","GO:0070104"
"38","MIMAT0000066","hsa-let-7e-5p","GO:1904995"
"39","MIMAT0000066","hsa-let-7e-5p","GO:1903231"
"40","MIMAT0000066","hsa-let-7e-5p","GO:0032715"
"41","MIMAT0000066","hsa-let-7e-5p","GO:0035195"
"42","MIMAT0000066","hsa-let-7e-5p","GO:0035278"
"43","MIMAT0000066","hsa-let-7e-5p","GO:2000272"
"44","MIMAT0000066","hsa-let-7e-5p","GO:0005615"
"45","MIMAT0000067","hsa-let-7f-5p","GO:1903231"
"46","MIMAT0000067","hsa-let-7f-5p","GO:0030512"
"47","MIMAT0000067","hsa-let-7f-5p","GO:0032007"
"48","MIMAT0000067","hsa-let-7f-5p","GO:0032700"
"49","MIMAT0000067","hsa-let-7f-5p","GO:0035195"
"50","MIMAT0000067","hsa-let-7f-5p","GO:0043066"
"51","MIMAT0000067","hsa-let-7f-5p","GO:0051898"
"52","MIMAT0000067","hsa-let-7f-5p","GO:0090050"
"53","MIMAT0000067","hsa-let-7f-5p","GO:1904646"
"54","MIMAT0000067","hsa-let-7f-5p","GO:0005615"
"55","MIMAT0000067","hsa-let-7f-5p","GO:0070062"
"56","MIMAT0000068","hsa-miR-15a-5p","GO:0003730"
"57","MIMAT0000068","hsa-miR-15a-5p","GO:1903231"
"58","MIMAT0000068","hsa-miR-15a-5p","GO:0008285"
"59","MIMAT0000068","hsa-miR-15a-5p","GO:0010801"
"60","MIMAT0000068","hsa-miR-15a-5p","GO:0016525"
"61","MIMAT0000068","hsa-miR-15a-5p","GO:0032088"
"62","MIMAT0000068","hsa-miR-15a-5p","GO:0035195"
"63","MIMAT0000068","hsa-miR-15a-5p","GO:0035278"
"64","MIMAT0000068","hsa-miR-15a-5p","GO:0043065"
"65","MIMAT0000068","hsa-miR-15a-5p","GO:0043124"
"66","MIMAT0000068","hsa-miR-15a-5p","GO:0045736"
"67","MIMAT0000068","hsa-miR-15a-5p","GO:0050728"
"68","MIMAT0000068","hsa-miR-15a-5p","GO:0071333"
"69","MIMAT0000068","hsa-miR-15a-5p","GO:0090051"
"70","MIMAT0000068","hsa-miR-15a-5p","GO:1903588"
"71","MIMAT0000068","hsa-miR-15a-5p","GO:1904046"
"72","MIMAT0000068","hsa-miR-15a-5p","GO:1904706"
