"","circRNA","miRNAs"
"1","hsa_circ_0007848","hsa-miR-1200"
"2","hsa_circ_0007848","hsa-miR-1228"
"3","hsa_circ_0007848","hsa-miR-1229"
"4","hsa_circ_0007848","hsa-miR-1236"
"5","hsa_circ_0007848","hsa-miR-1244"
"6","hsa_circ_0007848","hsa-miR-1245"
"7","hsa_circ_0007848","hsa-miR-1289"
"8","hsa_circ_0007848","hsa-miR-1290"
"9","hsa_circ_0007848","hsa-miR-1294"
"10","hsa_circ_0007848","hsa-miR-183"
"11","hsa_circ_0007848","hsa-miR-198"
"12","hsa_circ_0007848","hsa-miR-485-3p"
"13","hsa_circ_0007848","hsa-miR-498"
"14","hsa_circ_0007848","hsa-miR-569"
"15","hsa_circ_0007848","hsa-miR-586"
"16","hsa_circ_0007848","hsa-miR-622"
"17","hsa_circ_0007848","hsa-miR-629"
"18","hsa_circ_0007848","hsa-miR-766"
"19","hsa_circ_0007848","hsa-miR-940"
"20","hsa_circ_0007848","hsa-miR-942"
"21","hsa_circ_0005542","hsa-miR-1205"
"22","hsa_circ_0005542","hsa-miR-1248"
"23","hsa_circ_0005542","hsa-miR-1253"
"24","hsa_circ_0005542","hsa-miR-139-5p"
"25","hsa_circ_0005542","hsa-miR-1825"
"26","hsa_circ_0005542","hsa-miR-203"
"27","hsa_circ_0005542","hsa-miR-518a-5p"
"28","hsa_circ_0005542","hsa-miR-524-3p"
"29","hsa_circ_0005542","hsa-miR-525-3p"
"30","hsa_circ_0005542","hsa-miR-527"
"31","hsa_circ_0005542","hsa-miR-545"
"32","hsa_circ_0005542","hsa-miR-548p"
"33","hsa_circ_0005542","hsa-miR-618"
"34","hsa_circ_0005542","hsa-miR-671-5p"
"35","hsa_circ_0005542","hsa-miR-892a"
"36","hsa_circ_0005542","hsa-miR-942"
"37","hsa_circ_0006291","hsa-miR-1225-5p"
"38","hsa_circ_0006291","hsa-miR-1257"
"39","hsa_circ_0006291","hsa-miR-1261"
"40","hsa_circ_0006291","hsa-miR-1265"
"41","hsa_circ_0006291","hsa-miR-1283"
"42","hsa_circ_0006291","hsa-miR-1288"
"43","hsa_circ_0006291","hsa-miR-1294"
"44","hsa_circ_0006291","hsa-miR-140-3p"
"45","hsa_circ_0006291","hsa-miR-153"
"46","hsa_circ_0006291","hsa-miR-198"
"47","hsa_circ_0006291","hsa-miR-223"
"48","hsa_circ_0006291","hsa-miR-296-5p"
"49","hsa_circ_0006291","hsa-miR-326"
"50","hsa_circ_0006291","hsa-miR-330-5p"
"51","hsa_circ_0006291","hsa-miR-331-3p"
"52","hsa_circ_0006291","hsa-miR-346"
"53","hsa_circ_0006291","hsa-miR-370"
"54","hsa_circ_0006291","hsa-miR-382"
"55","hsa_circ_0006291","hsa-miR-486-3p"
"56","hsa_circ_0006291","hsa-miR-490-5p"
"57","hsa_circ_0006291","hsa-miR-518a-5p"
"58","hsa_circ_0006291","hsa-miR-527"
"59","hsa_circ_0006291","hsa-miR-545"
"60","hsa_circ_0006291","hsa-miR-548m"
"61","hsa_circ_0006291","hsa-miR-606"
"62","hsa_circ_0006291","hsa-miR-615-3p"
"63","hsa_circ_0006291","hsa-miR-615-5p"
"64","hsa_circ_0006291","hsa-miR-616"
"65","hsa_circ_0006291","hsa-miR-624"
"66","hsa_circ_0006291","hsa-miR-637"
"67","hsa_circ_0006291","hsa-miR-639"
"68","hsa_circ_0006291","hsa-miR-644"
"69","hsa_circ_0006291","hsa-miR-647"
"70","hsa_circ_0006291","hsa-miR-648"
"71","hsa_circ_0006291","hsa-miR-661"
"72","hsa_circ_0006291","hsa-miR-665"
"73","hsa_circ_0006291","hsa-miR-888"
"74","hsa_circ_0006291","hsa-miR-892a"
"75","hsa_circ_0006291","hsa-miR-942"
"76","hsa_circ_0008285","hsa-miR-1179"
"77","hsa_circ_0008285","hsa-miR-1180"
"78","hsa_circ_0008285","hsa-miR-1200"
"79","hsa_circ_0008285","hsa-miR-1227"
"80","hsa_circ_0008285","hsa-miR-1248"
"81","hsa_circ_0008285","hsa-miR-1270"
"82","hsa_circ_0008285","hsa-miR-1305"
"83","hsa_circ_0008285","hsa-miR-1307"
"84","hsa_circ_0008285","hsa-miR-145"
"85","hsa_circ_0008285","hsa-miR-149"
"86","hsa_circ_0008285","hsa-miR-1827"
"87","hsa_circ_0008285","hsa-miR-370"
"88","hsa_circ_0008285","hsa-miR-375"
